id,title,author,year,page
365, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
366, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
367, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
368, The Alchemist, Paulo Coelho, 1988, 208 halaman
369, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
370, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
371, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
372, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
373, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
374, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
375, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
376, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
377, War and Peace, Leo Tolstoy, 1869, 1225 halaman
378, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
379, Little Women, Louisa May Alcott, 1868, 759 halaman
380, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
381, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
382, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
383, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
384, The Giver, Lois Lowry, 1993, 240 halaman
385, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
386, The Shining, Stephen King, 28 Januari 1977, 447 halaman
387, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
388, The Outsiders, S.E. Hinton, 1967, 192 halaman
389, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
390, The Book Thief, Markus Zusak, 2005, 584 halaman
391, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
392, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
393, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
394, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
395, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
396, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
397, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
398, The Trial, Franz Kafka, 26 April 1925, 255 halaman
399, Lolita, Vladimir Nabokov, 1955, 336 halaman
400, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
401, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
402, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
403, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
404, The Secret History, Donna Tartt, 1992, 559 halaman
405, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
406, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
407, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
408, The Metamorphosis, Franz Kafka, 1915, 55 halaman
409, Middlemarch, George Eliot, 1871-1872, 800 halaman
410, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
411, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
412, The Color Purple, Alice Walker, 1982, 288 halaman
413, Beloved, Toni Morrison, 1987, 324 halaman
414, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
415, The Martian, Andy Weir, 27 September 2012, 384 halaman
416, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
417, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
418, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
419, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
420, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
421, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
422, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
423, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
424, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
425, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
426, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
427, The Metamorphosis, Franz Kafka, 1915, 55 halaman
428, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
429, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
430, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
431, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
432, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
433, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
434, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
435, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
436, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
437, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
438, 1984, George Orwell, 8 Juni 1949, 328 halaman
439, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
440, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
441, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
442, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
443, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
444, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
445, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
446, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
447, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
448, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
449, The Alchemist, Paulo Coelho, 1988, 208 halaman
450, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
451, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
452, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
453, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
454, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
455, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
456, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
457, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
458, War and Peace, Leo Tolstoy, 1869, 1225 halaman
459, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
460, Little Women, Louisa May Alcott, 1868, 759 halaman
461, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
462, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
463, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
464, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
465, The Giver, Lois Lowry, 1993, 240 halaman
466, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
467, The Shining, Stephen King, 28 Januari 1977, 447 halaman
468, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
469, The Outsiders, S.E. Hinton, 1967, 192 halaman
470, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
471, The Book Thief, Markus Zusak, 2005, 584 halaman
472, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
473, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
474, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
475, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
476, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
477, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
478, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
479, The Trial, Franz Kafka, 26 April 1925, 255 halaman
480, Lolita, Vladimir Nabokov, 1955, 336 halaman
481, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
482, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
483, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
484, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
485, The Secret History, Donna Tartt, 1992, 559 halaman
486, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
487, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
488, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
489, The Metamorphosis, Franz Kafka, 1915, 55 halaman
490, Middlemarch, George Eliot, 1871-1872, 800 halaman
491, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
492, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
493, The Color Purple, Alice Walker, 1982, 288 halaman
494, Beloved, Toni Morrison, 1987, 324 halaman
495, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
496, The Martian, Andy Weir, 27 September 2012, 384 halaman
497, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
498, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
499, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
500, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
501, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
502, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
503, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
504, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
505, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
506, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
507, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
508, The Metamorphosis, Franz Kafka, 1915, 55 halaman
509, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
510, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
511, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
512, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
513, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
514, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
515, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
516, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
517, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
518, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
519, 1984, George Orwell, 8 Juni 1949, 328 halaman
520, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
521, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
522, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
523, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
524, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
525, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
526, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
527, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
528, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
529, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
530, The Alchemist, Paulo Coelho, 1988, 208 halaman
531, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
532, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
533, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
534, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
535, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
536, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
537, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
538, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
539, War and Peace, Leo Tolstoy, 1869, 1225 halaman
540, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
541, Little Women, Louisa May Alcott, 1868, 759 halaman
542, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
543, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
544, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
545, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
546, The Giver, Lois Lowry, 1993, 240 halaman
547, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
548, The Shining, Stephen King, 28 Januari 1977, 447 halaman
549, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
550, The Outsiders, S.E. Hinton, 1967, 192 halaman
551, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
552, The Book Thief, Markus Zusak, 2005, 584 halaman
553, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
554, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
555, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
556, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
557, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
558, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
559, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
560, The Trial, Franz Kafka, 26 April 1925, 255 halaman
561, Lolita, Vladimir Nabokov, 1955, 336 halaman
562, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
563, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
564, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
565, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
566, The Secret History, Donna Tartt, 1992, 559 halaman
567, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
568, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
569, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
570, The Metamorphosis, Franz Kafka, 1915, 55 halaman
571, Middlemarch, George Eliot, 1871-1872, 800 halaman
572, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
573, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
574, The Color Purple, Alice Walker, 1982, 288 halaman
575, Beloved, Toni Morrison, 1987, 324 halaman
576, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
577, The Martian, Andy Weir, 27 September 2012, 384 halaman
578, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
579, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
580, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
581, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
582, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
583, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
584, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
585, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
586, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
587, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
588, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
589, The Metamorphosis, Franz Kafka, 1915, 55 halaman
590, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
591, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
592, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
593, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
594, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
595, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
596, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
597, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
598, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
599, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
600, 1984, George Orwell, 8 Juni 1949, 328 halaman
601, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
602, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
603, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
604, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
605, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
606, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
607, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
608, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
609, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
610, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
611, The Alchemist, Paulo Coelho, 1988, 208 halaman
612, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
613, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
614, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
615, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
616, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
617, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
618, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
619, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
620, War and Peace, Leo Tolstoy, 1869, 1225 halaman
621, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
622, Little Women, Louisa May Alcott, 1868, 759 halaman
623, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
624, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
625, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
626, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
627, The Giver, Lois Lowry, 1993, 240 halaman
628, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
629, The Shining, Stephen King, 28 Januari 1977, 447 halaman
630, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
631, The Outsiders, S.E. Hinton, 1967, 192 halaman
632, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
633, The Book Thief, Markus Zusak, 2005, 584 halaman
634, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
635, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
636, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
637, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
638, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
639, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
640, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
641, The Trial, Franz Kafka, 26 April 1925, 255 halaman
642, Lolita, Vladimir Nabokov, 1955, 336 halaman
643, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
644, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
645, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
646, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
647, The Secret History, Donna Tartt, 1992, 559 halaman
648, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
649, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
650, The Martian, Andy Weir, 27 September 2012, 384 halaman
651, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
652, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
653, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
654, The Raven, Edgar Allan Poe, 29 Januari 1845, 72 halaman
655, The Silmarillion, J.R.R. Tolkien, 15 September 1977, 365 halaman
656, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
657, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
658, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
659, The Jungle Book, Rudyard Kipling, 1894, 240 halaman
660, 
661, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
662, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
663, The Metamorphosis, Franz Kafka, 1915, 55 halaman
664, Don Quixote, Miguel de Cervantes, 1605, 863 halaman
665, Alice's Adventures in Wonderland, Lewis Carroll, 4 Juli 1865, 200 halaman
666, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
667, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
668, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
669, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
670, Harry Potter and the Philosopher's Stone, J.K. Rowling, September 2000 - Januari 2008, 5248 halaman
671, The Great Gatsby, F. Scott Fitzgerald, 10 April 1925, 180 halaman (edisi paperback 2004)
672, To Kill a Mockingbird, Harper Lee, 11 Juli 1960, 296 halaman (edisi pertama, hardback)
673, 1984, George Orwell, 8 Juni 1949, 328 halaman
674, Pride and Prejudice, Jane Austen, 28 Januari 1813, 432 halaman
675, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
676, The Lord of the Rings, J.R.R. Tolkien, 29 Juli 1954 - 20 Oktober 1955, 1178 halaman (trilogi dalam satu volume)
677, To the Lighthouse, Virginia Woolf, 5 Mei 1927, 209 halaman
678, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
679, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
680, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
681, The Odyssey, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 324 halaman (edisi terjemahan Inggris)
682, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
683, Moby-Dick, Herman Melville, 18 Oktober 1851, 720 halaman
684, The Alchemist, Paulo Coelho, 1988, 208 halaman
685, Jane Eyre, Charlotte Brontë, 16 Oktober 1847, 594 halaman
686, The Da Vinci Code, Dan Brown, 18 Maret 2003, 454 halaman
687, The Picture of Dorian Gray, Oscar Wilde, 20 Juni 1890, 254 halaman
688, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
689, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
690, The Kite Runner, Khaled Hosseini, 29 Mei 2003, 372 halaman
691, Animal Farm, George Orwell, 17 Agustus 1945, 112 halaman
692, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
693, War and Peace, Leo Tolstoy, 1869, 1225 halaman
694, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
695, Little Women, Louisa May Alcott, 1868, 759 halaman
696, The Secret Garden, Frances Hodgson Burnett, 1911, 331 halaman
697, The Chronicles of Narnia, C.S. Lewis, 16 Oktober 1950 - 4 September 1956, 766 halaman (tujuh buku dalam satu volume)
698, A Tale of Two Cities, Charles Dickens, 1859, 489 halaman
699, The Catcher in the Rye, J.D. Salinger, 16 Juli 1951, 224 halaman
700, The Giver, Lois Lowry, 1993, 240 halaman
701, The Fault in Our Stars, John Green, 10 Januari 2012, 313 halaman
702, The Shining, Stephen King, 28 Januari 1977, 447 halaman
703, The Hobbit, J.R.R. Tolkien, 21 September 1937, 310 halaman
704, The Outsiders, S.E. Hinton, 1967, 192 halaman
705, The Lion, the Witch and the Wardrobe, C.S. Lewis, 16 Oktober 1950, 206 halaman
706, The Book Thief, Markus Zusak, 2005, 584 halaman
707, The Sound and the Fury, William Faulkner, 7 Oktober 1929, 326 halaman
708, Wuthering Heights, Emily Brontë, Desember 1847, 337 halaman
709, The Handmaid's Tale, Margaret Atwood, 1985, 311 halaman
710, The Adventures of Tom Sawyer, Mark Twain, 10 November 1876, 216 halaman
711, Frankenstein, Mary Shelley, 1 Januari 1818, 280 halaman
712, Brave New World, Aldous Huxley, 17 Juli 1932, 288 halaman
713, The Hunger Games, Suzanne Collins, 14 September 2008, 374 halaman
714, The Trial, Franz Kafka, 26 April 1925, 255 halaman
715, Lolita, Vladimir Nabokov, 1955, 336 halaman
716, Dracula, Bram Stoker, 26 Mei 1897, 418 halaman
717, East of Eden, John Steinbeck, 19 September 1952, 601 halaman
718, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 14 Oktober 1892, 307 halaman
719, The Iliad, Homer, Tidak diketahui (ditulis sekitar abad ke-8 SM), 683 halaman
720, The Secret History, Donna Tartt, 1992, 559 halaman
721, The Three Musketeers, Alexandre Dumas, 14 Maret 1844, 704 halaman
722, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
723, The Scarlet Letter, Nathaniel Hawthorne, 16 Maret 1850, 238 halaman
724, The Metamorphosis, Franz Kafka, 1915, 55 halaman
725, Middlemarch, George Eliot, 1871-1872, 800 halaman
726, The Stranger Beside Me, Ann Rule, 1980, 592 halaman
727, Fahrenheit 451, Ray Bradbury, 1953, 158 halaman
728, The Color Purple, Alice Walker, 1982, 288 halaman
729, Beloved, Toni Morrison, 1987, 324 halaman
730, The Hound of the Baskervilles, Arthur Conan Doyle, 25 Maret 1902, 256 halaman
731, The Martian, Andy Weir, 27 September 2012, 384 halaman
732, The Time Traveler's Wife, Audrey Niffenegger, 2003, 546 halaman
733, A Clockwork Orange, Anthony Burgess, 1962, 192 halaman
734, The Bell Jar, Sylvia Plath, 14 Januari 1963, 244 halaman
